A;;Temps;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20;;21;
Jeu;Nom;Responsable;10h08-10h23;;10h25-10h40;;10h42-10h57;;10h59-11h14;;11h16-11h31;;11h33-11h48;;11h50-12h05;;12h07-12h22;;12h24-12H39;;13h38-13h53;;13h55-14h10;;14h12-14h27;;14h29-14h44;;14h46-15h01;;15H03-15h18;;15h20-15h35;;15h37-15h52;;15h54-16h09;;16h11-16h26;;16h28-16h43;;16h45-17h00;
1;A dos de Rama;Pionniers;1;42;3;2;5;4;7;6;9;8;11;10;13;12;15;14;17;16;19;18;21;20;23;22;25;24;27;26;29;28;31;30;33;32;35;34;37;36;39;38;41;40
2;Le temple d'Angkor;Pionniers;2;41;4;1;6;3;8;5;10;7;12;9;14;11;16;13;18;15;20;17;22;19;24;21;26;23;28;25;30;27;32;29;34;31;36;33;38;35;40;37;42;39
3;Vite, Akéla nous appelle!;Pionniers;3;40;5;42;7;2;9;4;11;6;13;8;15;10;17;12;19;14;21;16;23;18;25;20;27;22;29;24;31;26;33;28;35;30;37;32;39;34;41;36;1;38
4;De liane en liane;Pionniers;4;39;6;41;8;1;10;3;12;5;14;7;16;9;18;11;20;13;22;15;24;17;26;19;28;21;30;23;32;25;34;27;36;29;38;31;40;33;42;35;2;37
5;La rivière Waingunga;Pionniers;5;38;7;40;9;42;11;2;13;4;15;6;17;8;19;10;21;12;23;14;25;16;27;18;29;20;31;22;33;24;35;26;37;28;39;30;41;32;1;34;3;36
6;La ronde des totems;Pionniers;6;37;8;39;10;41;12;1;14;3;16;5;18;7;20;9;22;11;24;13;26;15;28;17;30;19;32;21;34;23;36;25;38;27;40;29;42;31;2;33;4;35
7;Le repas de Kaa;Pionniers;7;36;9;38;11;40;13;42;15;2;17;4;19;6;21;8;23;10;25;12;27;14;29;16;31;18;33;20;35;22;37;24;39;26;41;28;1;30;3;32;5;34
8;Chikaï - Hathi - Baloo - Kaa;Pionniers;8;35;10;37;12;39;14;41;16;1;18;3;20;5;22;7;24;9;26;11;28;13;30;15;32;17;34;19;36;21;38;23;40;25;42;27;2;29;4;31;6;33
9;Le désordre des bandar logs;Pionniers;9;34;11;36;13;38;15;40;17;42;19;2;21;4;23;6;25;8;27;10;29;12;31;14;33;16;35;18;37;20;39;22;41;24;1;26;3;28;5;30;7;32
10;Partie de chasse;Pionniers;10;33;12;35;14;37;16;39;18;41;20;1;22;3;24;5;26;7;28;9;30;11;32;13;34;15;36;17;38;19;40;21;42;23;2;25;4;27;6;29;8;31
11;Le saut de Shere Khan;Pionniers;11;32;13;34;15;36;17;38;19;40;21;42;23;2;25;4;27;6;29;8;31;10;33;12;35;14;37;16;39;18;41;20;1;22;3;24;5;26;7;28;9;30
12;Comme des frères;Pionniers;12;31;14;33;16;35;18;37;20;39;22;41;24;1;26;3;28;5;30;7;32;9;34;11;36;13;38;15;40;17;42;19;2;21;4;23;6;25;8;27;10;29
13;Roc de la paix;Pionniers;13;30;15;32;17;34;19;36;21;38;23;40;25;42;27;2;29;4;31;6;33;8;35;10;37;12;39;14;41;16;1;18;3;20;5;22;7;24;9;26;11;28
14;La chasse des hommes;Pionniers;14;29;16;31;18;33;20;35;22;37;24;39;26;41;28;1;30;3;32;5;34;7;36;9;38;11;40;13;42;15;2;17;4;19;6;21;8;23;10;25;12;27
15;Rikki-tikki-tavi;Pionniers;15;28;17;30;19;32;21;34;23;36;25;38;27;40;29;42;31;2;33;4;35;6;37;8;39;10;41;12;1;14;3;16;5;18;7;20;9;22;11;24;13;26
16;La charge des buffles;Pionniers;16;27;18;29;20;31;22;33;24;35;26;37;28;39;30;41;32;1;34;3;36;5;38;7;40;9;42;11;2;13;4;15;6;17;8;19;10;21;12;23;14;25
17;Les petits d'hommes;Pionniers;17;26;19;28;21;30;23;32;25;34;27;36;29;38;31;40;33;42;35;2;37;4;39;6;41;8;1;10;3;12;5;14;7;16;9;18;11;20;13;22;15;24
18;Le trésor de Thuu;Pionniers;18;25;20;27;22;29;24;31;26;33;28;35;30;37;32;39;34;41;36;1;38;3;40;5;42;7;2;9;4;11;6;13;8;15;10;17;12;19;14;21;16;23
19;Le chant des loups;Pionniers;19;24;21;26;23;28;25;30;27;32;29;34;31;36;33;38;35;40;37;42;39;2;41;4;1;6;3;8;5;10;7;12;9;14;11;16;13;18;15;20;17;22
20;La collection du Roi Louie;Pionniers;20;23;22;25;24;27;26;29;28;31;30;33;32;35;34;37;36;39;38;41;40;1;42;3;2;5;4;7;6;9;8;11;10;13;12;15;14;17;16;19;18;21
21;Le repos du guerrier;/;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
