M;3;Louveteaux Lessines (garçons)
M;4;Louveteaux Haine Saint Pierre
M;5;Louveteaux de Mettet
M;5;Meute Louveteaux Seeonee Enghien
M;5;Louveteaux Anderlues
M;5;Louveteaux Braine-le-Comte
M;8;Louveteaux Férao Soignies
M;7;Louveteaux Tubize
M;4;Louveteaux Neufvilles
M;7;Louveteaux Waingunga Soignies
M;4;Louveteaux Saintes
M;5;Louveteaux Hennuyères
M;7;Meute Roi Baudouin Le Roeulx
M;7;Meute St-Géry Rebecq
M;8;Louveteaux Ecaussinnes
F;2;Louveteaux Lessines (filles)
F;2;Lutins Lessines
F;3;Lutins Farfadets (ronde A) Lessines
F;4;Lutins Etoiles Filantes Enghien
F;5;Lutins écureuils Soignies
F;5;Lutins Feux-Follets Soignies
F;5;Lutin St Symphorien Villers-Saint-Ghislain
F;5;Lutins Hyon
F;5;Lutins Braine le Comte
F;6;Louvettes Zindadilee Rebecq
